TRAIN DEVICE,TEST DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
737E_Security_Cam,Danmini_Doorbell,gafgyt,RFR,0.9999,1.0,0.9997,0.9998,30,0
737E_Security_Cam,Ecobee_Thermostat,gafgyt,RFR,0.9997,0.9999,0.9967,0.9983,86,0
737E_Security_Cam,Ennio_Doorbell,gafgyt,RFR,0.9999,0.9999,0.9995,0.9997,40,0
737E_Security_Cam,B120N10_Baby_Mon,gafgyt,RFR,0.9915,0.9935,0.9882,0.9907,4141,0
737E_Security_Cam,737E_Security_Cam,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
737E_Security_Cam,838_Security_Cam,gafgyt,RFR,0.9999,1.0,0.9999,0.9999,22,0
737E_Security_Cam,Samsung_Webcam,gafgyt,RFR,0.9938,0.9964,0.9776,0.9868,2332,0
737E_Security_Cam,1002_Security_Cam,gafgyt,RFR,0.9903,0.9945,0.9637,0.9784,3385,0
737E_Security_Cam,1003_Security_Cam,gafgyt,RFR,0.9992,0.9996,0.9929,0.9962,276,0
838_Security_Cam,Danmini_Doorbell,gafgyt,RFR,0.9999,0.9999,0.9997,0.9998,30,7
838_Security_Cam,Ecobee_Thermostat,gafgyt,RFR,0.9998,0.9999,0.9979,0.9989,55,0
838_Security_Cam,Ennio_Doorbell,gafgyt,RFR,1.0,1.0,1.0,1.0,2,0
838_Security_Cam,B120N10_Baby_Mon,gafgyt,RFR,0.994,0.9952,0.9918,0.9935,2811,108
838_Security_Cam,737E_Security_Cam,gafgyt,RFR,0.997,0.9907,0.9982,0.9944,0,1172
838_Security_Cam,838_Security_Cam,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
838_Security_Cam,Samsung_Webcam,gafgyt,RFR,0.998,0.9989,0.9929,0.9959,739,0
838_Security_Cam,1002_Security_Cam,gafgyt,RFR,0.9932,0.9961,0.9747,0.985,2358,5
838_Security_Cam,1003_Security_Cam,gafgyt,RFR,0.9983,0.9893,0.9954,0.9923,156,413
Samsung_Webcam,Danmini_Doorbell,gafgyt,RFR,0.9924,0.9956,0.9719,0.9833,2787,0
Samsung_Webcam,Ecobee_Thermostat,gafgyt,RFR,1.0,1.0,0.9999,1.0,2,0
Samsung_Webcam,Ennio_Doorbell,gafgyt,RFR,0.9803,0.9892,0.9104,0.9453,7005,0
Samsung_Webcam,B120N10_Baby_Mon,gafgyt,RFR,0.7565,0.8623,0.661,0.6637,118821,0
Samsung_Webcam,737E_Security_Cam,gafgyt,RFR,0.9794,0.988,0.9349,0.9592,8087,0
Samsung_Webcam,838_Security_Cam,gafgyt,RFR,0.9572,0.9733,0.9114,0.9377,17448,0
Samsung_Webcam,Samsung_Webcam,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
Samsung_Webcam,1002_Security_Cam,gafgyt,RFR,0.9941,0.9966,0.9778,0.987,2066,0
Samsung_Webcam,1003_Security_Cam,gafgyt,RFR,0.9998,0.9999,0.9986,0.9992,56,0
1002_Security_Cam,Danmini_Doorbell,gafgyt,RFR,0.9987,0.9993,0.9953,0.9973,461,0
1002_Security_Cam,Ecobee_Thermostat,gafgyt,RFR,0.9979,0.9989,0.9739,0.986,685,0
1002_Security_Cam,Ennio_Doorbell,gafgyt,RFR,0.965,0.9811,0.841,0.8959,12431,0
1002_Security_Cam,B120N10_Baby_Mon,gafgyt,RFR,0.6908,0.8373,0.5695,0.5249,150869,0
1002_Security_Cam,737E_Security_Cam,gafgyt,RFR,0.9253,0.9593,0.7644,0.8247,29286,0
1002_Security_Cam,838_Security_Cam,gafgyt,RFR,0.9073,0.9456,0.8084,0.8527,37760,0
1002_Security_Cam,Samsung_Webcam,gafgyt,RFR,0.9974,0.9985,0.9908,0.9946,962,0
1002_Security_Cam,1002_Security_Cam,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,1003_Security_Cam,gafgyt,RFR,0.9999,0.9999,0.9991,0.9995,34,0
1003_Security_Cam,Danmini_Doorbell,gafgyt,RFR,0.8816,0.9398,0.5625,0.5791,43352,0
1003_Security_Cam,Ecobee_Thermostat,gafgyt,RFR,0.9996,0.9998,0.9945,0.9971,143,0
1003_Security_Cam,Ennio_Doorbell,gafgyt,RFR,0.9312,0.9641,0.687,0.7536,24473,0
1003_Security_Cam,B120N10_Baby_Mon,gafgyt,RFR,0.6834,0.8347,0.5593,0.507,154466,0
1003_Security_Cam,737E_Security_Cam,gafgyt,RFR,0.9421,0.9678,0.8171,0.8715,22730,0
1003_Security_Cam,838_Security_Cam,gafgyt,RFR,0.9127,0.9484,0.8194,0.8626,35588,0
1003_Security_Cam,Samsung_Webcam,gafgyt,RFR,0.9982,0.999,0.9936,0.9963,665,0
1003_Security_Cam,1002_Security_Cam,gafgyt,RFR,0.9933,0.9962,0.9748,0.9852,2345,0
1003_Security_Cam,1003_Security_Cam,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,Danmini_Doorbell,mirai,RFR,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,Ecobee_Thermostat,mirai,RFR,1.0,0.9998,0.9996,0.9997,10,4
Danmini_Doorbell,B120N10_Baby_Mon,mirai,RFR,0.9984,0.999,0.9965,0.9978,1222,0
Danmini_Doorbell,737E_Security_Cam,mirai,RFR,0.9977,0.9987,0.9909,0.9947,1135,4
Danmini_Doorbell,838_Security_Cam,mirai,RFR,0.9982,0.9989,0.9951,0.997,966,1
Danmini_Doorbell,1002_Security_Cam,mirai,RFR,0.997,0.9983,0.9819,0.99,1682,2
